category,job,kind,file
"01 Small Jobs","01653-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01653-01 (4265 Lougheed Hwy Burnaby BC)\05 Stickfile\01 Architectural\4265 Lougheed-2021.06.10_Reduced.pdf"
"01 Small Jobs","01653-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01653-01 (4265 Lougheed Hwy Burnaby BC)\05 Stickfile\01 Architectural\ARCH'L PLANS FROM CAD.pdf"
"01 Small Jobs","01653-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01653-01 (4265 Lougheed Hwy Burnaby BC)\05 Stickfile\01 Architectural\Pages from Lougheed Master_2020.03.26.pdf"
"01 Small Jobs","01653-01","structural-issue","\\Kor-fs01\Projects\Projects\01 Small Jobs\01653-01 (4265 Lougheed Hwy Burnaby BC)\05 Stickfile\01653-STICKFILE-2023-06-29.pdf"
"01 Small Jobs","01657-01","other-stick","\\Kor-fs01\Projects\Projects\01 Small Jobs\01657-01 (Colin Barclay Residence)\05 Stickfile\01657-01 - 2023-05-19 - Colin Barclay Residence - Stud revison.pdf"
"01 Small Jobs","01663-01","other-stick","\\Kor-fs01\Projects\Projects\01 Small Jobs\01663-01 (Sandman Texas Fort Worth Rooftop)\05 Stickfile\01663-01 2023-10-30 - Fort Worth Mech Screens - BP and IFC (JM).pdf"
"01 Small Jobs","01663-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01663-01 (Sandman Texas Fort Worth Rooftop)\05 Stickfile\01 Architectural\ASK1_Roof_Screen-ASK1.pdf"
"01 Small Jobs","01664-01","other-stick","\\Kor-fs01\Projects\Projects\01 Small Jobs\01664-01 (India & Beech Structural Plan Check)\05 Stickfile\2023-08-14 620 W Beech St.pdf"
"01 Small Jobs","01664-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01664-01 (India & Beech Structural Plan Check)\05 Stickfile\01 Architectural\2023_0721_Pricing Set_Architecture.pdf"
"01 Small Jobs","01664-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01664-01 (India & Beech Structural Plan Check)\05 Stickfile\01 Architectural\2023_0721_Pricing Set_General Building.pdf"
"01 Small Jobs","01666-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01666-01 (Village Museum Tram Barn Plaza Burnaby)\05 Stickfile\01 Architectural\10569-Set.pdf"
"01 Small Jobs","01666-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01666-01 (Village Museum Tram Barn Plaza Burnaby)\05 Stickfile\01 Architectural\115 BVM Tram Plaza Draft Details 2024-02-15.pdf"
"01 Small Jobs","01666-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01666-01 (Village Museum Tram Barn Plaza Burnaby)\05 Stickfile\01 Architectural\115 BVM Tram Plaza_Progress Set 2023-06-26.pdf"
"01 Small Jobs","01666-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01666-01 (Village Museum Tram Barn Plaza Burnaby)\05 Stickfile\01 Architectural\23-012 23-09-08 BVM Tram Barn Plaza - String Light Markup REV02.pdf"
"01 Small Jobs","01666-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01666-01 (Village Museum Tram Barn Plaza Burnaby)\05 Stickfile\01 Architectural\23-012 24-01-16 BVM Tram Barn Plaza - Plans.pdf"
"01 Small Jobs","01666-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01666-01 (Village Museum Tram Barn Plaza Burnaby)\05 Stickfile\01 Architectural\23-012 25-01-16 BVM Tram Barn Plaza Issued for Coordination.pdf"
"01 Small Jobs","01666-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01666-01 (Village Museum Tram Barn Plaza Burnaby)\05 Stickfile\01 Architectural\Beam Anchor Bolt Detail.pdf"
"01 Small Jobs","01666-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01666-01 (Village Museum Tram Barn Plaza Burnaby)\05 Stickfile\01 Architectural\Beam Catenary Anchor Bolt Detail.pdf"
