Id,NewKind,Name
30942,Developer,"Northwest Oakwood Developments Inc."
23714,Developer,"NRT Development"
47176,Developer,"Nu-View Homes"
43676,Developer,"NUXALK DEVELOPMENT CORPORATION"
35837,Architect,"Nyhoff Architecture Inc"
44082,Architect,"O4 ARCHITECTURE LTD"
27800,Developer,"Oakfort Homes Ltd."
28421,Developer,"Oakwest Development Corp"
12811,Developer,"Omega Development Solutions"
22902,Developer,"Onni Development Pender Corp."
12863,Architect,"ONPA Architects Inc."
12864,Architect,"ONPA Architects Inc. (ONPA Architects)"
32921,Architect,"Openspace Architecture"
21591,Architect,"Orbis Architecture Inc."
24535,Developer,"Orchid Homes"
24390,Developer,"Origin Properties Ltd."
32026,Developer,"Orr Development Corp"
48317,Developer,"Osoyoos Indian Band Development Corporation"
24750,Architect,"Ousia Architecture"
49178,Architect,"OXBOW ARCHITECTURE INC"
13023,Architect,"Oystryk Taff Architecture Ltd."
41541,Developer,"P A BUILT HOMES LTD"
27879,Architect,"P A Grossman Architect"
67871,Architect,"P3A ARCHITECTURE"
21813,Developer,"Pacific Gate Development Group Ltd."
23551,Developer,"PACIFIC HOMES LTD."
24664,Developer,"Pacific Mountain Homes Ltd"
36310,Developer,"Pacific Preferred Development Ltd"
25097,Developer,"Pacific Preferred Developments Ltd"
30792,Developer,"Pacific Reach Properties Development"
50362,Developer,"Pagonya Development Ltd."
27671,Developer,"Paladon Development Group"
60507,Developer,"Pan American Development Foundation"
28034,Developer,"Pandher Properties LTD"
25338,Architect,"Paper Architecture"
23315,Developer,"Paramax Homes Ltd"
26203,Developer,"Patina Developments Inc."
13197,Developer,"Patmar Developments Ltd"
23640,Architect,"Patrick R. Stewart Architect"
24670,Architect,"Paul Tarjan Architect"
58661,Developer,"PEMBINA INSTITUTE FOR APPROPRIATE DEVELOPMENT"
18960,Architect,"Peter Cardew Architects"
46532,Architect,"PETER J. KINDREE ARCHITECT"
21574,Architect,"Peter K. Chu Architecture Inc"
22641,Architect,"Peter Rose Architecture"
24020,Developer,"Peterson Developments Inc"
25514,Architect,"Petit Design Studio Architecture"
20575,Developer,"PHW Homes"
49761,Developer,"PIC RIVER DEVELOPMENT CORPORATION"
31807,Developer,"Picket Fence Homes ltd"
42158,Developer,"PIJIIT DEVELOPMENTS LTD."
59258,Developer,"PLACENTIA AREA DEVELOPMENT ASSOCIATION"
25041,Architect,"Plan Bleu Architecture"
28419,Architect,"PLY STUDIO ARCHITECTURE INC."
67889,Architect,"PMGM ARCHITECTURE LTD."
55371,Architect,"POLE ARCHITECTURE INC."
31229,Architect,"Polyform Architecture Inc."
25532,Developer,"Precise Homes Ltd."
31363,Developer,"Price Pro Homes Ltd."
23258,Architect,"Principal Architecture"
19306,Architect,"Principle Architecture"
31131,Developer,"Property Development"
13820,Developer,"ProRoots Developments Ltd."
33828,Developer,"Prospex Development"
13850,Developer,"Providence Child Development Society (Providence)"
13875,Developer,"PTFN Development Corp."
13880,Architect,"Public City Architecture Inc."
21313,Developer,"Punch Properties"
28093,Developer,"Purpose Driven Development"
21958,Developer,"Puzzle Developments Ltd"
59064,Developer,"Queens Executive Development Centre"
19605,Developer,"Quinkatla Development Planning"
36680,Developer,"Quorus Properties Ltd"
33547,Developer,"R Star Homes LTD"
19095,Architect,"Radiant City Architecture"
21518,Developer,"Rai Development Ltd"
32397,Developer,"Raichu Cambie Development Ltd."
14083,Developer,"Rally Software Development Corp. RFP was awarded to Rally Software Development Corp."
59818,Architect,"RANGE ARCHITECTURE INC"
19952,Developer,"RAVA Homes"
36568,Developer,"Rayridge Developments Ltd"
67222,Architect,"RBM ARCHITECTURE INC."
61459,Architect,"RDH Architects Inc."
14186,Developer,"Real Estate Development Institute Inc."
14250,Developer,"Redemptive Developments"
31712,Developer,"Regency Coast Homes"
38274,Developer,"Regency Custom Homes Ltd"
34010,Architect,"Registered Architect"
14294,Architect,"Reid Architecture Ltd."
42463,Architect,"REPUBLIC ARCHITECTURE INC"
63193,Architect,"Republic Architecture Incorperated"
47777,Architect,"Republic Architecture Incorporation"
14371,Developer,"Resolve Business Development"
26806,Architect,"Re-Studio Architecture Inc."
51204,Developer,"REWS DEVELOPMENT INC."
51897,Developer,"RICHCRAFT PROPERTIES LTD."
14448,Architect,"Rick Balbi Architect"
51934,Architect,"RICKSON OUTHET ARCHITECT"
49784,Architect,"Riddell Kurczaba Architecture"
29248,Developer,"RKB DEVELOPMENTS INC."
14541,Architect,"RKH Architecture Ltd"
34600,Architect,"Robert Johnson Architect"
32707,Architect,"Robert Turecki Architect"
51754,Architect,"ROBERTSON MARTIN ARCHITECTS"
52537,Architect,"Robertson Martin Architects Incorpo"
61440,Architect,"Robertson Martin ArchitectsRMA+SH Architects"
30826,Developer,"Rocavan Development"
44709,Developer,"ROCK BAY PROPERTIES LTD"
25140,Developer,"Rockridge Fine Homes"
35982,Developer,"RODA HOMES"
14695,Architect,"Ron Wickman Architect"
51610,Architect,"ROOT ARCHITECTURE INC."
27132,Developer,"Roseland Development INC."
50708,Developer,"ROSEMONT PROPERTIES"
